word,year_quarter,n,total,tf,idf,tf_idf
быть_verb,2018_Q_4,260,44547,0.009140125149405891,0.4519851237430572,0.004131200596681251
менингит_noun,2018_Q_4,61,44547,0.002144413977360613,1.8870696490323797,0.004046658531638022
состояние_noun,2018_Q_4,205,44547,0.0072066371370315685,0.5520685823000399,0.003978557947391836
время_noun,2018_Q_4,179,44547,0.0062926246220909796,0.6061358035703155,0.0038141850818774687
операция_noun,2019_Q_1,746,49206,0.0225227945172393,0.5520685823000399,0.01243412723856741
ребенок_noun,2019_Q_1,609,49206,0.01838657085924763,0.6061358035703155,0.011144758902672608
врач_noun,2019_Q_1,548,49206,0.016544894631966667,0.5520685823000399,0.009133916523773378
год_noun,2019_Q_1,561,49206,0.01693738300827245,0.4519851237430572,0.007655445154877577
больница_noun,2019_Q_1,458,49206,0.013827667411388201,0.5520685823000399,0.007633820744321547
катетер_noun,2019_Q_1,90,49206,0.0027172272205784674,2.3978952727983707,0.006515626307344162
медицинский_adj,2019_Q_1,353,49206,0.01065756898737999,0.5520685823000399,0.005883709001627742
помощь_noun,2019_Q_1,318,49206,0.009600869512710586,0.6061358035703155,0.005819430757060574
девочка_noun,2019_Q_1,263,49206,0.007940341766801522,0.723918839226699,0.0057481629948862335
центр_noun,2019_Q_1,312,49206,0.009419721031338688,0.5520685823000399,0.005200332035433019
состояние_noun,2019_Q_1,264,49206,0.007970533180363504,0.5520685823000399,0.004400280953058708
здравоохранение_noun,2019_Q_1,261,49206,0.007879958939677556,0.5520685823000399,0.004350277760410313
провести_verb,2019_Q_1,249,49206,0.00751766197693376,0.5520685823000399,0.004150264989816735
гибридный_adj,2019_Q_1,47,49206,0.0014189964374131997,2.803360380906535,0.003977958393291683
сердце_noun,2019_Q_1,189,49206,0.005706177163214782,0.6632942174102642,0.00378487431587887
врач_noun,2019_Q_2,609,35757,0.028305833139669997,0.5520685823000399,0.0156267611722391
ребенок_noun,2019_Q_2,340,35757,0.015802928189635138,0.6061358035703155,0.009578720576988485
больница_noun,2019_Q_2,338,35757,0.01570996978851964,0.5520685823000399,0.008672980749124494
медицинский_adj,2019_Q_2,296,35757,0.01375784336509412,0.5520685823000399,0.00759527308207352
операция_noun,2019_Q_2,291,35757,0.01352544736230537,0.5520685823000399,0.007466974550281739
год_noun,2019_Q_2,350,35757,0.016267720195212644,0.4519851237430572,0.0073527675254506175
рецепт_noun,2019_Q_2,65,35757,0.0030211480362537764,2.1102132003465894,0.006375266466303896
помощь_noun,2019_Q_2,207,35757,0.009621194515454335,0.6061358035703155,0.005831750468931226
противотуберкулзный_adj,2019_Q_2,33,35757,0.0015338136184057634,3.4965075614664802,0.005362990914636014
состояние_noun,2019_Q_2,209,35757,0.009714152916569836,0.5520685823000399,0.005362878628896507
центр_noun,2019_Q_2,206,35757,0.009574715314896584,0.5520685823000399,0.005285899509821437
девочка_noun,2019_Q_2,152,35757,0.007064838484778062,0.723918839226699,0.005114369675224645
здравоохранение_noun,2019_Q_2,197,35757,0.009156402509876831,0.5520685823000399,0.005054962152596229
область_noun,2019_Q_2,189,35757,0.008784568905414828,0.5520685823000399,0.004849684501729377
время_noun,2019_Q_2,169,35757,0.00785498489425982,0.6061358035703155,0.004761187580914866
кардиоцентр_noun,2019_Q_4,270,16846,0.0195964581216432,2.1102132003465894,0.04135270460833061
реорганизация_noun,2019_Q_4,108,16846,0.00783858324865728,3.4965075614664802,0.027407665600114667
кардиологический_adj,2019_Q_4,108,16846,0.00783858324865728,1.8870696490323797,0.014791952539954785
здравоохранение_noun,2019_Q_4,366,16846,0.026564087676005224,0.5520685823000399,0.014665198223386165
чиновник_noun,2019_Q_4,81,16846,0.00587893743649296,2.3978952727983707,0.014097076288043839
задумать_verb,2019_Q_4,54,16846,0.00391929162432864,3.4965075614664802,0.013703832800057334
журналист_noun,2019_Q_4,109,16846,0.007911162723181884,1.4170660197866443,0.011210639872023821
обозначить_verb,2019_Q_4,54,16846,0.00391929162432864,2.803360380906535,0.010987186860861729
изделие_noun,2019_Q_4,84,16846,0.006096675860066773,1.7047480922384253,0.010393296541444892
статус_noun,2019_Q_4,81,16846,0.00587893743649296,1.7047480922384253,0.010022107379250432
реформа_noun,2019_Q_4,54,16846,0.00391929162432864,2.3978952727983707,0.009398050858695894
медицинский_adj,2019_Q_4,222,16846,0.016112643344462187,0.5520685823000399,0.008895284168283413
операция_noun,2019_Q_4,219,16846,0.015894904920888374,0.5520685823000399,0.008775077625468771
брифинг_noun,2019_Q_4,85,16846,0.006169255334591377,1.4170660197866443,0.008742242102036925
пресс-конференция_noun,2019_Q_4,54,16846,0.00391929162432864,2.1102132003465894,0.008270540921666122
март_noun,2020_Q_1,271,23927,0.017126967073247804,0.8574502318512216,0.014685521887864567
карантина_noun,2020_Q_1,114,23927,0.0072047020160525815,1.8870696490323797,0.013595774504815224
случай_noun,2020_Q_1,500,23927,0.03159957024584466,0.4054651081081644,0.012812523165902938
меркенский_adj,2020_Q_1,70,23927,0.0044239398344182515,2.803360380906535,0.012401897659322342
область_noun,2020_Q_1,348,23927,0.021993300891107882,0.5520685823000399,0.012141810443052133
жамбылский_adj,2020_Q_1,115,23927,0.007267901156544271,1.550597412411167,0.011269588726997674
запрет_noun,2020_Q_1,73,23927,0.00461353725589332,2.3978952727983707,0.011062779176785758
шуский_adj,2020_Q_1,70,23927,0.0044239398344182515,2.3978952727983707,0.010608144416095932
коронавирус_noun,2020_Q_1,241,23927,0.015230992858497125,0.6632942174102642,0.010102629488458173
апрель_noun,2020_Q_1,132,23927,0.00834228654490299,1.1939224684724346,0.009960043344394955
қытай_noun,2020_Q_1,45,23927,0.002843961322126019,3.4965075614664802,0.009943932267331833
коронавирусный_adj,2020_Q_1,109,23927,0.0068887063135941356,1.4170660197866443,0.009761751637283968
противоэпидемический_adj,2020_Q_1,72,23927,0.00455033811540163,2.1102132003465894,0.009602183557160743
ввести_verb,2020_Q_1,119,23927,0.007520697718511028,1.1939224684724346,0.008979129984719694
выход_noun,2020_Q_1,75,23927,0.004739935536876698,1.8870696490323797,0.008944588490010015
область_noun,2020_Q_2,1005,44719,0.03463725659141823,0.5520685823000399,0.019122141141186974
коронавирус_noun,2020_Q_2,562,44719,0.019369291745648803,0.6632942174102642,0.012847539210221214
коронавирусный_adj,2020_Q_2,230,44719,0.00792693434430467,1.4170660197866443,0.011232989300393872
карантина_noun,2020_Q_2,170,44719,0.005859038428399104,1.8870696490323797,0.011056413590746323
человек_noun,2020_Q_2,674,44719,0.02322936412200586,0.4519851237430572,0.010499327017157351
случай_noun,2020_Q_2,751,44719,0.025883163880751337,0.4054651081081644,0.010494719841090176
апрель_noun,2020_Q_2,200,44719,0.006892986386351887,1.1939224684724346,0.008229691321540132
заражение_noun,2020_Q_2,200,44719,0.006892986386351887,1.1939224684724346,0.008229691321540132
карантинный_adj,2020_Q_2,88,44719,0.0030329140099948303,2.3978952727983707,0.007272610167370554
бизнесмен_noun,2020_Q_2,53,44719,0.00182664139238325,3.4965075614664802,0.006386865440555694
богатейший_adj,2020_Q_2,52,44719,0.0017921764604514907,3.4965075614664802,0.00626635854545087
провизорный_adj,2020_Q_2,49,44719,0.0016887816646562123,3.4965075614664802,0.005904837860136396
нашее_noun,2020_Q_2,87,44719,0.002998449078063071,1.8870696490323797,0.005658282249381942
инфекция_noun,2020_Q_2,363,44719,0.012510770291228674,0.4519851237430572,0.0056546820582019566
г_noun,2020_Q_2,115,44719,0.003963467172152335,1.4170660197866443,0.005616494650196936
бізг_noun,2020_Q_3,12,3587,0.015247776365946633,3.4965075614664802,0.05331396535908229
жаңалықтарин_noun,2020_Q_3,12,3587,0.015247776365946633,3.4965075614664802,0.05331396535908229
коронавирус_noun,2020_Q_3,60,3587,0.07623888182973317,0.6632942174102642,0.05056880945948647
қарс_noun,2020_Q_3,33,3587,0.04193138500635324,1.1939224684724346,0.05006282269325329
қазақстать_noun,2020_Q_3,11,3587,0.01397712833545108,3.4965075614664802,0.0488711349124921
вакциный_noun,2020_Q_3,22,3587,0.02795425667090216,1.7047480922384253,0.04765496572966373
