word,year_month,n,total,tf,idf,tf_idf
помощь_noun,2017-08,79,9177,0.008608477716029203,0.6546808997321493,0.005635805936454156
врач_noun,2017-09,160,13897,0.011513276246671944,0.5645298027378517,0.006499587568400106
ребенок_noun,2017-09,159,13897,0.011441318270130243,0.4818380868927384,0.005512862906810492
больница_noun,2017-09,104,13897,0.007483629560336763,0.6931471805599453,0.00518725673010249
медицинский_adj,2017-09,112,13897,0.00805929337267036,0.6176396280518002,0.004977738961056459
трамвай_noun,2017-09,13,13897,9.354536950420954e-4,4.624972813284271,0.0043264479076560065
врач_noun,2017-10,297,16740,0.017741935483870968,0.5645298027378517,0.01001585133889737
больница_noun,2017-10,186,16740,0.011111111111111112,0.6931471805599453,0.007701635339554948
ребенок_noun,2017-10,175,16740,0.01045400238948626,0.4818380868927384,0.005037136511722175
помощь_noun,2017-10,123,16740,0.007347670250896057,0.6546808997321493,0.0048103793707917775
октябрь_noun,2017-10,82,16740,0.004898446833930705,0.8637726975907087,0.004231144635748992
ребенок_noun,2017-11,167,12780,0.013067292644757433,0.4818380868927384,0.006296319288817473
врач_noun,2017-11,138,12780,0.0107981220657277,0.5645298027378517,0.006095861719704502
помощь_noun,2017-11,82,12780,0.006416275430359938,0.6546808997321493,0.004200612971677327
инсулина_noun,2017-11,20,12780,0.001564945226917058,2.4277482359480516,0.0037992930140032105
больница_noun,2017-11,61,12780,0.004773082942097027,0.6931471805599453,0.0033084489838933226
тепловоз_noun,2017-12,14,5178,0.0027037466203167246,3.9318256327243257,0.010630660266153063
врач_noun,2017-12,72,5178,0.013904982618771726,0.5645298027378517,0.00784977709484846
больница_noun,2017-12,52,5178,0.010042487446890692,0.6931471805599453,0.006960921859620927
сердце_noun,2017-12,53,5178,0.010235612205484744,0.6359887667199967,0.006509734383190388
ребенок_noun,2017-12,64,5178,0.012359984550019312,0.4818380868927384,0.005955511309605109
ребенок_noun,2018-01,218,9511,0.0229208285143518,0.4818380868927384,0.011044128161351799
больница_noun,2018-01,138,9511,0.014509515298075912,0.6931471805599453,0.010057229620152713
врач_noun,2018-01,138,9511,0.014509515298075912,0.5645298027378517,0.008191053809044635
девочка_noun,2018-01,87,9511,0.009147303122700031,0.6737290947028437,0.006162804251829188
декабрь_noun,2018-01,47,9511,0.004941646514562086,0.84078317936601,0.004154853267816472
врач_noun,2018-02,126,9747,0.012927054478301015,0.5645298027378517,0.007297707514616734
